Watching for file changes with StatReloader
Not Found: /api/v1/
[04/Jun/2026 11:54:56] "GET /api/v1/ HTTP/1.1" 404 19204
[04/Jun/2026 12:07:06] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:07:08] "OPTIONS /api/v1/publications/ HTTP/1.1" 200 0
[04/Jun/2026 12:07:08] "OPTIONS /api/v1/publications/ HTTP/1.1" 200 0
[04/Jun/2026 12:07:09] "GET /api/v1/publications/ HTTP/1.1" 200 498
[04/Jun/2026 12:07:09] "GET /api/v1/publications/ HTTP/1.1" 200 498
[04/Jun/2026 12:07:27] "OPTIONS /api/v1/publications/1/ HTTP/1.1" 200 0
[04/Jun/2026 12:07:27] "PUT /api/v1/publications/1/ HTTP/1.1" 200 496
[04/Jun/2026 12:07:27] "GET /api/v1/publications/ HTTP/1.1" 200 498
[04/Jun/2026 12:07:36] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:08:07] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:08:36] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:09:04] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 12:09:04] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 12:09:05] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 12:09:05] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 12:09:05] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 12:09:05] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 12:09:06] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:09:07] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:09:07] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:09:07] "GET /api/v1/projects/251/stats/ HTTP/1.1" 200 84
[04/Jun/2026 12:09:07] "GET /api/v1/projects/251/tasks/ HTTP/1.1" 200 24612
[04/Jun/2026 12:09:08] "OPTIONS /api/v1/projects/251/literature/sources/ HTTP/1.1" 200 0
[04/Jun/2026 12:09:08] "OPTIONS /api/v1/projects/251/literature/sources/ HTTP/1.1" 200 0
[04/Jun/2026 12:09:09] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:09:09] "GET /api/v1/users/me/ HTTP/1.1" 200 244
[04/Jun/2026 12:09:09] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:09:09] "GET /api/v1/users/me/ HTTP/1.1" 200 244
[04/Jun/2026 12:09:09] "GET /api/v1/projects/251/literature/sources/ HTTP/1.1" 200 1189
[04/Jun/2026 12:09:09] "GET /api/v1/projects/251/literature/sources/ HTTP/1.1" 200 1189
[04/Jun/2026 12:09:36] "OPTIONS /api/v1/projects/251/literature/gost-templates/ HTTP/1.1" 200 0
[04/Jun/2026 12:09:36] "OPTIONS /api/v1/projects/251/literature/gost-templates/ HTTP/1.1" 200 0
[04/Jun/2026 12:09:36] "GET /api/v1/projects/251/literature/gost-templates/ HTTP/1.1" 200 2047
[04/Jun/2026 12:09:36] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:09:37] "GET /api/v1/projects/251/literature/gost-templates/ HTTP/1.1" 200 2047
[04/Jun/2026 12:09:45] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:09:46] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:09:46] "GET /api/v1/projects/251/stats/ HTTP/1.1" 200 84
[04/Jun/2026 12:09:46] "GET /api/v1/projects/251/tasks/ HTTP/1.1" 200 24612
[04/Jun/2026 12:09:49] "GET /api/v1/projects/251/literature/sources/ HTTP/1.1" 200 1189
[04/Jun/2026 12:09:49] "GET /api/v1/users/me/ HTTP/1.1" 200 244
[04/Jun/2026 12:09:49] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:09:49] "GET /api/v1/projects/251/literature/sources/ HTTP/1.1" 200 1189
[04/Jun/2026 12:09:50] "GET /api/v1/users/me/ HTTP/1.1" 200 244
[04/Jun/2026 12:09:50] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:10:06] "GET /api/v1/projects/251/literature/gost-templates/ HTTP/1.1" 200 2047
[04/Jun/2026 12:10:06] "GET /api/v1/projects/251/literature/gost-templates/ HTTP/1.1" 200 2047
[04/Jun/2026 12:10:06] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:10:36] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:10:38] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:10:38] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:10:38] "GET /api/v1/projects/251/tasks/ HTTP/1.1" 200 24612
[04/Jun/2026 12:10:38] "GET /api/v1/projects/251/stats/ HTTP/1.1" 200 84
[04/Jun/2026 12:10:44] "GET /api/v1/users/me/ HTTP/1.1" 200 244
[04/Jun/2026 12:10:44] "GET /api/v1/projects/251/literature/sources/ HTTP/1.1" 200 1189
[04/Jun/2026 12:10:44] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:10:44] "GET /api/v1/users/me/ HTTP/1.1" 200 244
[04/Jun/2026 12:10:44] "GET /api/v1/projects/251/literature/sources/ HTTP/1.1" 200 1189
[04/Jun/2026 12:10:45] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:11:07] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:11:31] "GET /api/v1/projects/251/literature/gost-templates/ HTTP/1.1" 200 2047
[04/Jun/2026 12:11:31] "GET /api/v1/projects/251/literature/gost-templates/ HTTP/1.1" 200 2047
[04/Jun/2026 12:11:36] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:12:04] "GET /api/v1/users/me/join-requests/ HTTP/1.1" 200 1451
[04/Jun/2026 12:12:04] "GET /api/v1/users/me/join-requests/ HTTP/1.1" 200 1451
[04/Jun/2026 12:12:05] "GET /api/v1/reports/reports/my/ HTTP/1.1" 200 883
[04/Jun/2026 12:12:05] "GET /api/v1/reports/reports/my/ HTTP/1.1" 200 883
[04/Jun/2026 12:12:06] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 12:12:18] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 12:12:18] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 12:12:18] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 12:12:18] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 12:12:18] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 12:12:18] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 12:12:19] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:12:19] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 12:12:20] "GET /api/v1/projects/251/tasks/ HTTP/1.1" 200 24612
[04/Jun/2026 12:12:20] "GET /api/v1/projects/251/stats/ HTTP/1.1" 200 84
